Epoch,Group_ID,Selected_Clients,Client_Count,Max_Delay,Accuracy,Loss,Run_Time
1504,4,88;67;70;86;7;94;35;92;25;73,10,8.24,80.92948717948718,0.5118316721457702,2753.4246084690094
1505,0,29;52;32;33;58;72;69;10;55;50,10,7.92,77.89463141025641,0.5848030971410947,2757.4460270404816
1506,3,27;47;87;81;65;54;48;20;17;74,10,8.88,80.71915064102564,0.5241405761394745,2758.7991440296173
1507,1,71;40;49;15;99;21;79;57;56;31,10,8.93,73.37740384615384,0.6865187325538733,2759.927308320999
1508,2,41;61;84;60;95;0;85;16;24;23,10,9.11,73.28725961538461,0.6423520377049079,2760.576672554016
1509,4,35;80;62;2;76;73;25;75;70;94,10,8.26,74.90985576923077,0.6200545510420432,2762.301451921463
1510,0,50;55;1;52;33;58;69;32;42;72,10,8.4,76.01161858974359,0.6400062556450183,2766.4740788936615
1511,3,28;96;87;74;38;8;91;17;9;27,10,8.02,79.61738782051282,0.5474429711317405,2767.3987321853638
1512,2,84;60;16;19;89;46;39;59;36;22,10,7.68,76.06169871794872,0.5933834356375229,2768.8630986213684
1513,1,71;99;5;56;49;66;31;14;15;40,10,8.9,76.45232371794872,0.5998735756446154,2769.5236949920654
1514,4,25;86;35;12;43;75;73;51;92;70,10,8.24,79.82772435897436,0.5217666476964951,2771.153182029724
1515,0,98;50;33;10;34;11;32;83;42;29,10,8.36,75.1201923076923,0.7076146040971463,2775.397350549698
1516,3,91;87;45;3;20;54;74;8;48;27,10,8.74,77.10336538461539,0.6548573099649869,2776.760722875595
1517,2,59;63;24;23;46;95;36;82;85;64,10,7.88,77.41386217948718,0.5907161881526312,2777.5868821144104
1518,1,26;37;90;4;13;5;44;99;49;56,10,9.03,73.22716346153847,0.7110122446066294,2779.115692615509
1519,4,86;7;88;92;80;62;43;2;67;51,10,8.01,74.3389423076923,0.6532695499750284,2779.7252271175385
1520,0,6;77;52;72;29;50;32;83;98;55,10,7.94,75.7411858974359,0.6766824099497918,2783.970022916794
1521,3,93;9;91;17;27;54;38;8;45;30,10,8.36,80.36858974358974,0.519073547843175,2785.6965770721436
1522,2,85;89;24;18;61;39;63;78;64;59,10,9.09,79.1766826923077,0.5285778748683441,2787.2236998081207
1523,4,2;75;67;94;88;76;51;86;73;25,10,8.22,80.41866987179488,0.5331009847995563,2788.7942600250244
1524,1,15;44;13;21;90;40;71;31;37;26,10,9.06,78.52564102564102,0.5834044645994138,2789.391655921936
1525,0,52;68;29;42;83;11;50;98;32;72,10,8.43,74.38902243589743,0.6769335781916593,2793.0300691127777
1526,3,74;28;48;20;93;54;9;17;87;65,10,8.73,79.4170673076923,0.5506129012658045,2794.953150033951
1527,2,19;0;82;85;16;22;59;18;23;61,10,9.09,75.58092948717949,0.6002887227596381,2796.9150156974792
1528,4,70;53;51;88;35;12;86;80;25;94,10,8.01,80.09815705128206,0.5234413834718558,2797.6000275611877
1529,1,49;4;15;66;5;57;26;90;31;14,10,8.97,80.57892628205128,0.5252344615948505,2798.961555480957
1530,0,58;6;69;77;33;11;68;72;50;83,10,7.87,79.83774038461539,0.5343082482234026,2801.499589443207
1531,3,9;27;87;91;17;96;54;81;8;30,10,7.16,77.02323717948718,0.6081569680036643,2802.7235827445984
